SYS_NO,NTCE_WATER_ID_NM,NTCE_WATER_TITLE_NM,NTCE_WATER_CN,CTGRY_ONE_FLAG_CD,CTGRY_ONE_NM,CTGRY_TWO_FLAG_CD,LOCPLC_ALL_ADDR,ACMD_NMPR_CO,CARD_SETLE_AT,DETAIL_ADDR,CVNTL_NM,UTILIIZA_CHRGE_CN,PROGRM_NM,CNSLT_TEL_NO,RSTDE_GUID_CN,PRKPLCE_EXST_AT,TEL_NO,GO_TRNSPORT_MTH_CN,CMNG_TRNSPORT_MTH_CN,OPN_FCLTY_NM,DSCNT_AT,UTILIIZA_TIME,HMPG_ADDR,OPER_TIME,GID_LA,GID_LO,REPRSNT_IMAGE_ONE_NM,REPRSNT_IMAGE_TWO_NM,REPRSNT_IMAGE_THREE_NM,THEME_MAIN_IMAGE_NM
12,349,대천천산책길,"대천(大川)은 북구에서 가장 큰 냇물로서 금정산 고당봉 아래 산성 북문재에서 발원하여 흘러내려 사시골 야문(夜門) 옆 수구문(水口門)을 거쳐 산성마을 뒷산에서 흘러내린물과 합수하여 넓은 시내를 이룬다.
여기서 다시 흘러 산성 서문 성벽을 만나는데 물의 흐름은 비교적 완만하여 그다지 높은 폭포는 없으나 계곡 중류에 전설이 깃든 애기소라는 폭포와 웅덩이가 있다.
2008년 대천천정비 계획에 의거 하천에 세워진 다리에는 학생들의 체험학습을 돕기 위한 자연생태 그림으로 모자이크가 설치되어 있으며, 화명동과 금곡동의 신흥 아파트를 사이에 두고 아이들의 자연 놀이터 걷기와 물놀이가 함께하는 친수 하천길을 지천에서 만난다.
대천길은 단순히 걷기 좋은 강변길이 아니라, 물과 계곡이 어우르지는 도심 주민 자연 생태공원으로 즐길 수 있는 공간이다.",b01,b01,부산 북구 화명동 북부 보건소 입구,,,(북구 구민운동장 ～ 화명동 산성입구),,,,,051)304-7501,연중 무휴&#xD;,null,051)304-7501,2호선(화명) &#xD;,"일반: 59, 126, 21, 23-002(심야), 24, 111, 121, 15, 23, 63 &#xD;마을: 금정구1, 북구7-2, 북구3, 북구7 &#xD;급행: 1009&#xD;",null,,,,null,35.2402,129.006,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14171014.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14171025.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14171032.gif,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1417107.jpg
13,350,낙동강 강변길,"낙동강하류지역인 구포, 사상과 김해 사이의 동서연안에 제방을 쌓기 시작한 것은 구포다리 건설과 때를 같이 했다.
원래 낙동강 하류지역의 본류(本流)는 강서구 대저와 대동 사이를 흘러 가락을 지나 녹산으로 빠져나갔다.
일제시대 낙동강의 대치수 사업으로 위로는 대동수문을 설치하여 강의 흐름을 구포, 사상쪽으로 모두어 흐르도록 하고, 아래로는 녹산수문을 설치하여 바닷물의 조수(潮水)를 막아 김해 평야의 농업용수를 확보하기 위한 수리사업을 전개 하였다.

원래 낙동강 하류지역인 구포 사상지역에는 비만 오면 물바다 되는 강변습지였으나, 대규모 제방이 완공되어 큰 물난리를 벗어날 수 있었다.

낙동강제방 강둑길은 8.15광복이후 시민들의 산책로로서 많은 사람들의 휴식처가 되어 왔으며, 그동안 주변 변화에 따라 다양한 모습을 가지게 되었다. 특히, 구포동 거북바위에서 보는 낙동강의 모습과 해질녘 일몰을 제방 길에서 보면 그야말로 장관이다.

아직 구포지하철역에서 덕천동까지 1Km정도는 걷기 좋은 길의 모습을 갖추어지진 않았지만 지금 한 창 그린웨이 사업장으로 자연친화적 강변길을 갖추어 가고 있다.

제방 길을 걷다 보면 전통재래시장인 구포시장을 덤으로 만난다. 물건만 파는 것이 아니라, 정을 파는 5일장 구포시장은 매월 3.8일 구포제방이 끝나는 시점부터 늘어서기 시작하여 아직도 많은 사람들이 찾는 재래시장의 모습을 간직하고 있다",b01,b01,부산광역시 북구 가람로,,,48,,,,,051)304-7501,연중 무휴,null,051)304-7501,3호선(구포) \/ 2호선(구명),"마을: 강서구11, 강서구13, 강서구5, 강서구7-2, 북구6, 강서구19 &amp;ltbr&amp;gt일반: 148, 130, 133, 33, 160, 200, 307, 148-1, 110, 123 &amp;ltbr&amp;gt급행: 1004, 1009 &amp;ltbr&amp;gt좌석: 1004, 207, 207",null,,,,24시간 이용,35.20659,128.9965,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016181230.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114145330.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114145336.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101618127.jpg
14,364,온천천 산책로(동래구),"지난날 온천천은 동래의 젖줄이자 중요한 생활공간으로, 아이들이 멱 감고 어머니들이 빨래하던 옛 추억의 근원지였으나 그 간 앞만 보고 달려온 경제발전 일변도의 고도성장에 따른 하천의 급속한 오염 이후에 우리는 휴식공간이자 생활의 원천이었던 온천천에 대한 진한 향수를 다시 느끼게 되었다.
지난 30여 년 동안 버려지다시피 한 온천천을 자연형으로 정비하는 데에는 여러 난관을 겪기도 했지만, 이제 온천천은 정비전의 모습과 비교하면 괄목상대할 만큼 하천환경이 개선되었다.
온천천에 다시 물고기가 찾아오고 곤충과 식생이 살아갈 수 있는 생태공간으로, 그리고 시민 여러분의 여망에 부응하고자 하천유수에 지장을 초래하지 않는 범위에서 최소한의 체육시설과 휴식공간도 마련하여 모든 구민이 이 곳에서 생활의 에너지를 재충전시킬 수 있는 생활공간으로 조성하고자 힘써 왔다.
그 결과 온천천에는 사계절 꽃이 피고 생명이 살아있는 곳, 가족과 이웃들이 함께 추억을 만들고 건강한 여가시간을 보낼 수 있는 웰빙공간으로 변모하였다.
또한 하천수질을 개선하고자 지하철 3호선 미남역사의 지하수를 1.5km의 송수관을 통해 하루 약 1,700톤의 양질의 지하수를 동래역 환승시설 아래까지 인입하여 물놀이장의 인공폭포와 음악분수를 가동하고 난 후 하천 유지수로 사용하고, 2005. 11월에는 온천천 상류에서 하루 약 3~5만톤의 낙동강 원수를 공급할 수 있게 되어 수질개선과 유지수 확보 문제를 어느 정도 해결할 수 있게 되었다.
이제 온천천은 부산에서 뿐만 아니라 전국에서도 가장 잘 가꾸어진 하천정비 사례가 되었다",b01,b01,부산광역시 동래구 온천천로359번길 50,,,null,,,,,051)550-4743,연중 무휴,null,051)550-4743,null,"(일반) 210, 49, 189-1, 57, 86, 87, 42, 307, 100-1, 54, 급행1002 \/ (마을버스) 동래구2",null,,,,null,35.19608,129.0911,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101617150.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144922.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144931.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101617140.jpg
15,388,암남공원 해안산책로,"해안의 소나무 숲 사이로 바라다 보이는 바다풍경과 그 위에 유유히 떠 있는 배들의 모습으로 한 폭의 그림을 선사하는 공원이 있다.
천혜의 해안절경을 자랑하는 암남공원은 서구 암남동 산193번지 일원 진정산 일대의 자연공원으로, 온통 울창한 숲으로 둘러싸여 있고 해안선을 따라 바다를 바라보며 삼림욕을 즐길 수 있는 곳, 기암절벽의 전시장인 이 곳은 최상의 도심 공원이다.

산책로를 따라 공원을 한바퀴 둘러보는데 소요되는 시간은 1시간 정도. 중간 중간에 전망대와 벤치가 있는 휴게광장에 이르면 탁 트인 바다를 시원스레 내려다 볼 수 있다.
바로 눈 밑에는 손에 잡힐 듯 작은 섬 두도와 그 곳에 우뚝 선 하얀 등대가 그림처럼 시야에 들어온다. 해풍을 맞으며 탁 트인 남해바다를 감상하는 멋을 느낄 수 있는 고즈넉한 공원 분위기를 연출하는 암남공원은 서구가 자랑하는 자연생태 공원이기도 하다.
도심 인근에 위치하여 천혜의 해안절경과 함께 삼림욕을 즐길 수 있는 공원이 우리 곁에 있다는 것만으로도 이 곳을 찾는 시민들을 마냥 즐겁게 한다.
39만㎡ 규모의 도시근린공원. 약 1억년전 형성된 퇴적암ㆍ원시림ㆍ100여종의 야생화와 370여종의 식물등 도심에서 보기 드문 자연생태가 군락을 이루고 있는 원시자연공원으로, 해양성 식물이 자생하고 있는 것이 특징이다.
주변에는 낚시터ㆍ전망대ㆍ산책로 등을 갖추고 있다.
동쪽은 부산항의 남항이고 서쪽은 감천항이며, 남쪽은 멀리 한려해상 국립공원인 다도해이다.
육지 안으로는 국립수의과학검역원 부산지원이 있다. 자연과 더불어 여유를 즐길 수 있는 멋진 자연의 암남공원엔 입장료가 없는 것도 더 없는 매력이다",b01,b01,부산광역시 서구 암남공원로,,,185,,,,,051)240-4542,연중 무휴,null,051)240-4542,"1호선 남포역 하차 후 버스 7,9,9-1,71번 환승&lt;br&gt;&lt;br&gt;","일반: 71, 7, 9, 9-1 &amp;ltbr&amp;gt",null,,,,null,35.05704,129.0152,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111231.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111243.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111238.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111250.JPG
16,389,이기대 해안산책로,"부산 남구 용호동일원의 이기대공원에는 해안절벽을 따라 조성된 해안산책로가 있다.
‘이기대 해안산책로'는 말 그대로 바다와 하늘을 눈에 가득 안고 파도소리를 들으며 바다에 접한 절벽 위를 걷는 최고의 명품 길이다.
이기대 해안산책로는 동생말~어울마당~농바위~오륙도 해맞이공원으로 이어지는 3.95㎞ 구간으로 넘실대는 파도 속에 부서지는 하얀 물보라를 바로 발밑에서 느낄 수 있는 구름다리 5개소와 약 1.5km에 이르는 데크로드, 깎아지른 듯한 바윗길, 숲과 바다의 정취를 느낄 수 있는 흙길로 이루어져 있다.
군부대에서 관리하고 있다가 1993년에야 일반인에게 개방됐으며 그 경관을 보존하기 위해 1997년 공원지역으로 지정, 관리해 오면서 2005년부터 본격적으로 해안산책로를 조성하기 시작했다.
LG메트로시티 아파트를 지나 용호부두가 있는 동생말부터 못난이 골짜기 - 목너머 - 이기대 - 장바위 - 남끝 - 처마바위 - 박골새 - 농바위 - 산태골 - 용호동 포진지 - 오륙도 해맞이공원 까지 길게 늘어진 바닷가 산책로엔 재미있는 이름의 절경들이 펼쳐져 있다.
한편, 이기대는 남구 용호동에 있는 장산봉(225.3m)자락 동쪽바다와 이곳에 있는 해안 암반으로서 기기묘묘한 바위로 어우러진 약 2Km에 달하는 해안 일대 바위들이 비스듬히 바다로 빠져드는 모양을 하고 있다.
이 바위 반석에서 바라보는 동해 파도 일출과 월출의 풍경을 비롯한 주위의 경관이 무척 빼어나고 낚시터로도 각광받고 있다.
탁 트인 동해 바다는 물론 광안대교, 해운대 APEC누리마루하우스 등의 부산 명소를 볼 수 있어 더욱 좋은 곳이다. 그리고 봄에는 순환도로변의 화사한 벚꽃, 여름에는 멕시코 해바라기라 불리는 루드베키아가 화들짝 피어난 꽃길을 만날 수 있는 곳이다.
이기대의 명칭에 대해 여러 가지 설이 있으나 향토사학자에 의하면 임진왜란 때 왜군이 수영성을 함락시키고는 경치 좋은 이 곳에서 축하 잔치를 열었는데 왜장에게 술을 잔뜩 권하고 술 취한 왜장과 함께 물에 떨어져 장렬한 죽음을 맞이한 수영의 두 기생이 이 곳에 묻혀 있어서 이 곳을 이기대(二妓臺)라 한다는 설이 유력하다",b01,b01,부산광역시 남구 이기대공원로,,,105-20,,,,,051)607-4122,연중 무휴,null,051)607-4122,"2호선 경성대부경대역 하차 후 버스 20,22,24,27,39,131번 환승&lt;br&gt;&lt;br&gt;",마을: 남구9&amp;ltbr&amp;gt,null,,,,null,35.12331,129.1229,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0763_01.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0763_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114142825.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016155542.jpg
17,390,이기대도시자연공원,"이기대도시자연공원은 장산봉과 바다로 이루어진 해상 자연공원이라 할 수 있다.

이기대라는 명칭이 불리어진 유래는 임진왜란 때 왜군들이 수영성을 함락하고 경치가
빼어난 이곳에서 잔치를 벌였는데 수영의 기생 두 사람이 잔치에 참가했다가 왜장에게
술을 잔뜩 권해 술에 취한 왜장과 함께 물속에 빠져 죽었다고 전해지고,
그 두 기생의 시체가 이곳에 묻혀 있어 이 곳을 이기대라 불려지기 시작했다고 전해진다.

군사지역으로 통제되어오다가 1993년부터 일반시민에게 개방되었기 때문에
자연 생태 역시 아주 잘 보존되어 있다

이기대는 거대한 바위들로 이루어져서 위험하게 보이지만 그 끝으로 잘 다듬어져 있는 공원산책길이 있다.

이 길이 있어 많은 사람들에게 안심을 하고 빼어난 절경을 감상할 수 있다",b01,b01,부산광역시 남구 이기대공원로,,,105-20,,,,,051)607-6361,연중무휴,null,051)607-6361,null,일반: 남구9&lt;br&gt;,null,,,,null,35.12314,129.1228,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_01.jpg
18,391,절영해안산책로,"부산의 유명한 관광명소인 ‘태종대’를 끼고 있는 부산 영도구에는 또 하나의 명소가 있다.

‘절영해안산책로’는 천혜의 기암절벽과 바다의 낭만이 수려한 그림처럼 펼쳐져 있고 전망대,
낚시터, 건강의 길, 쉼터, 해녀촌 등 여러 부대시설도 마련되어 있어 많은 볼거리, 먹거리를
제공한다.

절경과 분위기는 정말 낭만적이지만 솔직히 높은 구두 신고 데이트하기 위해 왔다면 절반도
못 보고 가는 수가 있다.

단단히 마음먹고 운동화에 물통 들고 온 사람은 절영 전망대, 구릉지 산책로 같은 멋진 곳도 볼 수 있다.

근처에는 백련사, 영선사와 같은 절이 있고 영도관광사격장, 함지골 청소년수련원과 맛 좋기로 소문난 ‘목장원’도 전망 좋은 곳에 자리하고 있다.

3Km의 긴 해안 산책로 아래 펼쳐진 바다가 장관인 이곳은 영화 ‘사생결단’에서 류승범이 마약사범으로 잡히는 장면과 온주완이 숨긴 마약을 가져가는 장면을 촬영한 곳이기도 하다",b01,b01,부산광역시 영도구 전망로,,,257,,,,,영도구청(051)415-1001,연중 무휴,null,(051)415-1001,&lt;br&gt;,"마을: 영도구1, 영도구5, 영도구2 &lt;br&gt;일반: 508, 70, 71, 7, 9, 82, 85, 6, 9-1, 11 &lt;br&gt;",null,,,,null,35.07096,129.0566,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110191010.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0208_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/111019826.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110191045.jpg
19,392,천가동(가덕도) 해안산책로,"가덕도는 보개산이 바다 가운데 침몰되었다가 다시 솟아서 이루어 졌다는 전설이 있는 부산 최대의 섬이다.
최고봉인 연대산(459.4m)을 위시하여 수많은 산들이 펼쳐져 있으며, 해안선을 따라 동북쪽으로 눌차·동선 사이를 이어주는 주변 백사장에서부터 기도원앞 바닷가의 경관, 동남쪽으로 대항새바지의 넓은 자갈밭과 용두암을 시작으로 펼쳐지는 동백숲과 아동섬 일대와 동두말, 가덕도 등대 주위의 깎아지른 듯한 기암괴석, 서남쪽으로 돌아 외양포 해수욕장, 두문의 길게 뻗은 솔섬, 천수말 코바위 등 가덕도는 해금강 절경을 방불케 한다.

현재 희망근로 사업으로 동선새바지에서 대항새바지까지 해안변을 따라 산책로를 개설하였다.",b01,b01,강서구 동선동,,,산74-8,,,,,null,연중 무휴,null,970-4122,null,일반: 520,null,,,,null,35.05303,128.8365,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144822.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1420657.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1420648.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414484.jpg
20,393,가덕도 등산로,"가덕도에서 가장 높은 해발 459.4ｍ의 연대산 정상에 봉수대가  있다. 이 봉수대의 설치연대는 확실히 알 수 없으나 고려 의종 때를 전후하여 만들어졌을 것으로 추정된다. 1891년 광무원년에 전국 봉수대의 역할이 폐지될 때 형체가 거의 없어진 것을 1996년 4월 26일 강서구에서 다시 복원했다. 위치로 보아 일본의 대마도와 가장 가까운 해안 연변봉수대 이며 동래 직
봉 소속의 간봉으로서 서쪽으로는 웅천의 사화랑 봉수대에 연결하여 진해 창원 창녕 성주 칠곡 김천 상주 문경을 거쳐서 충주에서 동래직봉선과 만나는 역할을 하고, 북쪽으로는 녹산동의 성화예산 봉수대에 연결하여 김해 분산성, 진영, 수산, 밀양, 청도, 경산, 대구를 거쳐서 영천의 성황당 봉수대에 닿아 동래직봉선에 연결해 주는 역할을 하고 동으로는 다대포의 응봉봉수대와 교신  하는 국토의 최첨단에 위치하여 중요한 역할을 담당하였다. 연대산 정상에 오르면 남해의 섬들과 거제 해금강이 한눈에 내려다  보인다. 천천히 오르더라도 4시간 정도면 종주할 수 있어 가족이 함께 산행하기에 적당하다.",b01,b01,부산시 강서구 천성동,,,null,,,,,null,연중 무휴,null,970-4122,null,일반: 520&amp;ltbr&amp;gt,null,,,,null,35.03837,128.8297,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101619497.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11109215.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/111092129.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016194914.jpg
21,394,거북이숲길(어린이대공원-화지산- 시민공원),거북이숲길(어린이대공원-화지산- 시민공원),b01,b01,어린이대공원-화지산-시민공원,,,null,,,,,051)605-4124,연중 무휴,null,051)605-4124,null,"마을: 부산진구17, 부산진구15 &#xD;일반: 44, 81, 133, 63, 54, 83-1 &#xD;",null,,,,null,35.18875,129.0404,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/115105750.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11510580.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/115105741.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/115105741.jpg
22,395,승학산 등산로,"승학산(해발 496m)은 부산에서 가장 서쪽에 있는 산으로
고려말 무학대사가 전국을 두루 돌아다니며 산세를 살폈는데 이곳에 오니 산세가 준엄하고 기세가 높아 마치 학이 나는 듯 하다하여 승학산(乘鶴山)이란 이름이 붙었다는 전설이 전해오고 있으며,
구덕산과 시약산의 서쪽이며 엄광산의 남쪽으로 사하구 당리동의 뒷산으로 흔히 동아대 뒷산으로 불린다.
억새가 아름답기로 이름이 나 있는데, 억새군락은 승학산 동쪽 제석골 안부에 있다. 수 만평에 이르는 부산 제1의 억새밭이다.
바람따라 일렁이는 대장관은 전국의 어느 억새명산 못지 않다.
억새능선까지 올라갈 수 있는 길은 4군데 정도로 다소 가파르지만 엄궁에서 올라가거나 사하구청 뒤편, 괴정동 제석골, 한생약수터로 통하는 코스, 대신동 꽃동네에서 기상청 레이더관측소 도로를 따라 올라가 임도로 내려가는 길, 그리고 통상 종주로인 동아대~잔등이~ 정상코스 등이 있다.
동아대학교 뒤로 올라 승학산 정상을 거쳐 서대신동 꽃마을~구덕산~구봉산~수정산으로 이르는 등산코스는 부산시내를 한눈에 내려다볼 수 있는 좋은 등산코스이기도 하다",b01,b01,"부산광역시 사하구 하단, 당리, 괴정 일원",,,null,,,,,051)220-4061,연중 무휴,null,051)220-4061,1호선(당리) &lt;br&gt;,"마을: 사하구2, 사하구2-1, 강서구16, 사하구10, 강서구21 &lt;br&gt;일반: 138, 16, 123, 126, 520, 58-2, 2, 11, 113, 138-1 &lt;br&gt;급행: 1001 &lt;br&gt;좌석: 58-1, 1000 &lt;br&gt;",null,,,,null,35.11678,128.9792,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016193652.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194838.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194855.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016193643.jpg
23,396,엄광산 등산로(서대신동 꽃마을 - 내원정사 - 엄광산 정상),"엄광산은 동대신동의 북쪽에 위치하여 서구와 부산진구(개금동), 동구(좌천동)와 경계를 이루고 있다.
엄광산은 1995년 그 이름을 되찾기 전까지는 고원견산(高遠見山)으로 불려졌다.
고원견산이란 명칭은 일본인에 의해서 만들어졌을 가능성이 높다.
이 산의 정상에 올라서면 대한해협을 지나 멀리 일본의 쓰시마 까지 바라 볼 수 있다는 의미에서 붙여진 것은 아닌가 싶다.
서대신동 꽃마을은 옛날 이 곳에는 조그마한 주막집이 몇 채 있었는데, 6.25동란 전후 피란민이 몰려와 집단으로 거주하기 시작하여 당시 마을 주민 대부분이 꽃재배를 생업으로 삼고 국화ㆍ카네이션 등을 시내 꽃가게에 내다 팔거나 학교 졸업식이나 입학식 때 학교 앞에서 직접 팔아서 생활을 영위하면서부터 ‘꽃마을’이라 부르기 시작하였다.
서구의 발전 잠재력을 지닌 꽃마을은 2003년 마을 진입도로가 확장되고 현대식 건물들이 새로 들어서면서 현재는 많이 달라진 모습이다.
자연환경과 조화를 이루며 조성된 수목원과  목석원예관과 민속박물관이 개관하게 되면서 서부산권 청소년들의 심신수련 및 체험활동의 장으로써 크게 호응을 얻고 있다.
또한, 이 곳에는 1981년 서구청에서 설치하여 직영하는 2,000여평 규모의 양묘장이 있고, 서구에서는 규모가 가장 큰 내원정사(內院精寺)라는 사찰이 소재하고 있다",b01,b01,부산광역시 서구 서대신동,,,3가,,,,,051)240-4535,연중 무휴&#xD;,null,051)240-4535,null,마을: 서구1&#xD;,null,,,,null,35.11348,129.0119,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114163820.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110185356.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110185342.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114163756.jpg
24,397,장산 등산로,"장산은 해발 634m로 부산에서 금정산(801m) 다음으로 높은 산으로 옛날 주변에 장산국이라는 작은 나라에서 이름이 유래되었으며

장산 등산로는 해운대구 반여동, 재송동, 우동, 좌동, 폭포사, 신시가지까지 연결되어 있어 어느 곳에서나 접근이 용이하며, 산행코스가 많아 어느쪽에서 출발하더라도 다시 출발점으로 되돌아올 수 있으며 장산의 정상에는 억새가 군락을 이루고 그 정상에서 바라보는 바다풍경은 장관으로 휴일에는 가족단위 등산객의 발길이 끊이지 않는 명산이다.

신시가지 방면 장산 입구에는 대천공원이 자리잡고 있으며, 대천공원은 수려한 장산의 수림대와 삼림욕장이 어우러져 도심의 휴식공간으로 자리잡고 있으며 이곳에는 만선을 기원하는 상징조형물과 인공호수가 있으며, 신석정, 조지훈 등 유명 시인들의 시가 새겨진 까만 대리석이 의자처럼 놓여져 있고 정자, 의자 등 편의시설이 마련되어 있다.

대천공원을 지나 장산을 오르는 길에는 폭포사, 양운폭포를 구경할 수 있으며 주민 건강을 위해 마련된 체육공원도 만날 수 있다.",b01,b01,부산광역시 해운대구 좌동,,,산1-230,,,,,051)749-4081~3,연중 무휴&#xD;,null,051)749-4081~3,null,"마을: 해운대구8, 해운대구7 &#xD;일반: 115-1, 63, 38, 40, 100-1, 181 &#xD;급행: 1001 &#xD;공항: 해운대 &#xD;","카페, 푸드코트, 북카페, 편의점",,,,null,35.1919,129.1757,null,null,null,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016193413.jpg
25,399,천마산등산로(천마산 10리길),"서구 남부민동과 사하구 감천동의 경계에 솟아 있는 산으로「동래부지」에는 석성산이라 기록되어 있는 산이다.
석성산에는 봉수대가 있었는데『경상도지리지』에 ‘석성봉화대가 동쪽으로 30리 거리에 황령산 봉화대를 바라보며, 서쪽 110리 거리에 김해 봉화대를 바라본다’고 기록되어 있다.
또한 『동래부지』봉수조에는 『석성산재왜관서』라고 적혀 있어 석성산이 왜관의 서쪽에 있었음을 말하고, 역시『동래부지』산천조에는 석성산의 봉수대가 구봉산으로 옮겨가고 석성산에는 그 자리만 남아 있는 것으로 기록되어 있다.
이러한 기록으로 미루어 볼 때 현재의 천마산이 과거에는 석성산이었던 것 같다. 천마산이라는 산명은 옛날 이 곳은 초원이 우거져서 일찍이 목마장이었다는 것과 하늘에서 용마가 내려왔다는 전설에서도 나왔음직하다.

전형적인 노년산지의 특색을 지니고 있으며, 특히 산록이 완만하고 활엽수가 주를 이루고 있는데 산에 오르면 남항이 한눈에 들어온다.
정상에는 동네체육공원이 조성되어 있는데, 특히 서구에서 조성한 『천마산조각공원』이 자연과의 절묘한 조화 속에서 산을 찾는 이로 하여금 그 아름다움과 평화로움을 만끽하게 한다.",b01,b01,부산광역시 서구 남부민동 일대,,,null,,,,,051)240-4535,연중 무휴&#xD;,null,051)240-4535,null,"일반: 190, 134, 161, 16, 17, 7, 9, 61, 96, 26 &#xD;",null,,,,null,35.08718,129.0153,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016185811.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712112440.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712112446.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016185752.jpg
26,434,송도해안산책로,"송도해수욕장과 암남공원을 연결하는 길이 800m의 철재데크와 폭 1m로 편도 20분 정도가 소요되며 곳곳에 끝없이 펼쳐진 수평선과 배들을 바라볼 수 있는 전망대(5개소)와 구름다리(2개소)가 있다
산책로에서 보이는 지층은 1억년전의 지층구조로 교육적 가치가 있으며 지질환경 체험장으로 지층(사층리, 층리, 암맥, 퇴적암)의 구조도 함께 관찰하는 재미가 있는 곳으로
자연의 신비와 푸르른 바다에서 울리는 파도소리를 느낄 수 있다",b01,b01,부산 서구 송도해수욕장~암남공원,,,null,,,,,051-240-4000,연중무휴,null,051-240-4000,"1호선 남포역 하차 후 버스 7,9,9-1,71번 환승&amp;ltbr&amp;gt&amp;ltbr&amp;gt",null,null,,,,null,35.07651,129.0174,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111814.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111820.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111826.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/71211188.JPG
